region,point,event_id,snapshot_timestamp,sample_type,tier,elevation,slope_deg,aspect,TWI,TRI,distance_to_river_m,flow_accumulation_cells,drainage_density_km_per_km2,cwc_danger_level_m,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_24h,rainfall_72h_antecedent,antecedent_precipitation_index,rain_intensity_mm_hr,soil_saturation_ratio,river_water_level_m,river_level_change_m_per_hr,tier_int
Wayanad,Chooralmala,UEI-IMD-FL-2019-0074,2019-10-20T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,7.0,12.4,19.3,43.8,212.2,29.8822,7.0,0.97,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2019-0074,2019-10-20T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,10.5,25.6,46.6,72.1,258.8,40.1521,10.5,0.97,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2019-0074,2019-10-21T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.6,8.4,33.2,102.7,292.0,30.0008,1.6,0.98,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2019-0078,2019-10-08T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.0,,0.92,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2019-0078,2019-10-09T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.0,25.0,25.0,2.207,0.0,0.92,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2019-0078,2019-10-10T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.1,0.2,0.2,12.0,37.0,0.9661,0.1,0.91,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2019-0078,2019-10-10T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,2.9,13.2,20.1,21.3,57.9,14.5204,2.9,0.91,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2019-0078,2019-10-10T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.2,2.4,23.5,60.3,5.7144,0.0,0.91,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2019-0078,2019-10-11T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.1,23.4,60.4,2.1996,0.0,0.91,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2019-0081,2019-03-09T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.0,,0.49,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2019-0081,2019-03-10T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.0,1.4,1.4,0.125,0.0,0.49,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2019-0081,2019-03-11T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.7,2.2,3.2,10.4,11.8,2.814,0.7,0.49,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2019-0081,2019-03-11T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.1,1.4,2.1,7.2,14.0,1.7592,0.1,0.49,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2019-0081,2019-03-11T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.1,5.5,14.1,0.6635,0.0,0.49,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2019-0081,2019-03-12T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.1,0.5,0.5,2.8,14.6,0.7026,0.1,0.49,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2020-0054,2020-06-05T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.5,,0.64,289.42,0.01,1
Wayanad,Chooralmala,UEI-IMD-FL-2020-0054,2020-06-06T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.3,1.1,2.0,14.0,14.0,3.2301,0.3,0.64,289.63,0.0,1
Wayanad,Chooralmala,UEI-IMD-FL-2020-0054,2020-06-07T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.9,5.1,9.1,39.7,53.7,12.0465,1.9,0.64,289.5,0.0,2
Wayanad,Chooralmala,UEI-IMD-FL-2020-0054,2020-06-07T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.7,0.9,6.1,49.5,77.0,8.8313,0.7,0.65,289.51,0.0,2
Wayanad,Chooralmala,UEI-IMD-FL-2020-0054,2020-06-07T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.2,0.7,2.3,34.7,79.3,4.828,0.2,0.65,289.52,0.0,3
Wayanad,Chooralmala,UEI-IMD-FL-2020-0054,2020-06-08T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.3,1.1,3.3,28.9,82.6,4.001,0.3,0.65,289.5,0.0,3
Wayanad,Chooralmala,UEI-IMD-FL-2020-0056,2020-08-05T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,4.3,,0.93,291.3,0.18,1
Wayanad,Chooralmala,UEI-IMD-FL-2020-0056,2020-08-06T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,5.1,15.3,30.4,123.5,123.5,32.951,5.1,0.94,291.28,0.0,1
Wayanad,Chooralmala,UEI-IMD-FL-2020-0056,2020-08-07T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,2.9,7.8,15.7,89.3,212.8,23.2338,2.9,0.95,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2020-0056,2020-08-07T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.4,5.8,11.4,57.3,237.8,13.6365,1.4,0.96,291.16,-0.14,2
Wayanad,Chooralmala,UEI-IMD-FL-2020-0056,2020-08-07T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.8,6.5,13.0,53.7,250.8,13.4499,1.8,0.96,291.15,0.0,3
Wayanad,Chooralmala,UEI-IMD-FL-2020-0056,2020-08-08T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.6,5.9,11.0,49.0,261.8,12.5766,1.6,0.97,291.01,-0.02,3
Wayanad,Chooralmala,UEI-IMD-FL-2020-0058,2020-10-05T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.0,,0.91,289.81,0.0,1
Wayanad,Chooralmala,UEI-IMD-FL-2020-0058,2020-10-06T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.0,6.3,6.3,0.6985,0.0,0.9,289.74,0.0,1
Wayanad,Chooralmala,UEI-IMD-FL-2020-0058,2020-10-07T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.7,1.3,2.1,15.1,21.4,3.8323,0.7,0.89,289.71,0.0,2
Wayanad,Chooralmala,UEI-IMD-FL-2020-0058,2020-10-07T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.3,9.9,13.5,24.8,36.2,9.4019,0.3,0.89,289.69,0.0,2
Wayanad,Chooralmala,UEI-IMD-FL-2020-0058,2020-10-07T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.4,0.7,17.6,36.9,4.336,0.0,0.89,289.68,0.0,3
Wayanad,Chooralmala,UEI-IMD-FL-2020-0058,2020-10-08T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,4.9,9.0,24.5,45.9,6.6586,0.0,0.9,289.69,0.0,3
Wayanad,Chooralmala,UEI-IMD-FL-2020-0064,2020-09-17T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.0,,0.94,289.94,0.0,1
Wayanad,Chooralmala,UEI-IMD-FL-2020-0064,2020-09-18T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.5,2.8,3.2,16.4,16.4,6.6215,1.5,0.94,289.93,0.0,1
Wayanad,Chooralmala,UEI-IMD-FL-2020-0064,2020-09-19T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.7,2.2,4.5,19.9,36.3,5.5794,0.7,0.95,289.92,0.0,2
Wayanad,Chooralmala,UEI-IMD-FL-2020-0064,2020-09-19T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,3.9,12.9,34.5,60.5,89.8,27.7709,3.9,0.95,289.93,-0.01,2
Wayanad,Chooralmala,UEI-IMD-FL-2020-0064,2020-09-19T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,5.9,16.9,33.9,91.9,123.7,34.6476,5.9,0.95,289.99,0.02,3
Wayanad,Chooralmala,UEI-IMD-FL-2020-0064,2020-09-20T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,4.7,17.2,31.5,118.9,155.2,36.077,4.7,0.96,290.17,0.03,3
Wayanad,Chooralmala,UEI-IMD-FL-2021-0063,2021-01-07T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.0,,0.65,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2021-0063,2021-01-08T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.1,2.7,13.0,13.0,3.4751,0.0,0.67,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2021-0063,2021-01-09T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,2.5,29.3,42.3,4.1694,0.0,0.69,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2021-0063,2021-01-09T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.9,5.1,7.7,17.4,50.0,6.183,0.9,0.68,289.58,0.0,2
Wayanad,Chooralmala,UEI-IMD-FL-2021-0063,2021-01-09T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.2,0.5,1.8,12.0,51.8,3.061,0.2,0.68,289.52,0.0,3
Wayanad,Chooralmala,UEI-IMD-FL-2021-0063,2021-01-10T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.2,1.2,1.7,11.2,53.5,2.4829,0.2,0.68,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2021-0068,2021-04-15T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.0,,0.52,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2021-0068,2021-04-16T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,4.3,13.8,13.8,2.7186,0.0,0.53,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2021-0068,2021-04-17T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.4,9.8,23.6,1.6629,0.0,0.53,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2021-0068,2021-04-17T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.4,6.1,11.8,29.8,3.0548,0.0,0.53,289.39,0.0,2
Wayanad,Chooralmala,UEI-IMD-FL-2021-0068,2021-04-17T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.1,0.1,0.2,6.8,30.0,1.2815,0.1,0.53,289.38,0.0,3
Wayanad,Chooralmala,UEI-IMD-FL-2021-0068,2021-04-18T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.0,6.4,30.0,0.4833,0.0,0.53,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2021-0070,2021-04-17T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.0,,0.53,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2021-0070,2021-04-18T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.0,6.4,6.4,0.4497,0.0,0.53,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2021-0070,2021-04-19T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.1,10.4,16.8,0.7648,0.0,0.53,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2021-0070,2021-04-19T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.4,4.1,7.7,9.1,24.5,4.7987,1.4,0.53,289.31,0.0,2
Wayanad,Chooralmala,UEI-IMD-FL-2021-0070,2021-04-19T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.2,0.6,0.8,8.6,25.3,3.1407,0.2,0.53,289.31,0.0,3
Wayanad,Chooralmala,UEI-IMD-FL-2021-0070,2021-04-20T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,1.5,3.2,11.7,28.5,2.6742,0.0,0.53,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2021-0077,2021-06-13T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,1.6,,0.77,289.35,0.01,1
Wayanad,Chooralmala,UEI-IMD-FL-2021-0077,2021-06-14T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.8,2.4,7.2,38.0,38.0,9.5528,0.8,0.79,289.42,0.0,1
Wayanad,Chooralmala,UEI-IMD-FL-2021-0077,2021-06-15T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.8,4.5,9.9,61.7,99.7,11.9901,1.8,0.79,289.52,0.02,2
Wayanad,Chooralmala,UEI-IMD-FL-2021-0077,2021-06-15T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,4.1,12.3,21.5,56.5,135.5,21.552,4.1,0.81,289.6,0.0,2
Wayanad,Chooralmala,UEI-IMD-FL-2021-0077,2021-06-15T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,2.0,5.1,13.4,59.1,148.9,16.3258,2.0,0.81,289.58,0.0,3
Wayanad,Chooralmala,UEI-IMD-FL-2021-0077,2021-06-16T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.1,5.4,11.6,60.8,160.5,16.1679,1.1,0.82,289.57,0.0,3
Wayanad,Chooralmala,UEI-IMD-FL-2021-0078,2021-06-18T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,1.3,,0.83,290.54,-0.02,1
Wayanad,Chooralmala,UEI-IMD-FL-2021-0078,2021-06-19T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.5,1.6,3.3,47.4,47.4,6.2133,0.5,0.83,290.29,0.04,1
Wayanad,Chooralmala,UEI-IMD-FL-2021-0078,2021-06-20T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.2,1.7,3.4,11.2,58.6,2.8132,0.2,0.83,290.05,0.0,2
Wayanad,Chooralmala,UEI-IMD-FL-2021-0078,2021-06-20T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.3,0.7,3.4,9.6,63.4,2.647,0.3,0.83,290.0,0.0,2
Wayanad,Chooralmala,UEI-IMD-FL-2021-0078,2021-06-20T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.3,8.5,63.7,1.0427,0.0,0.82,289.98,0.0,3
Wayanad,Chooralmala,UEI-IMD-FL-2021-0078,2021-06-21T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.0,5.1,63.7,0.3932,0.0,0.82,289.97,0.0,3
Wayanad,Chooralmala,UEI-IMD-FL-2021-0079,2021-07-11T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,1.4,,0.85,289.41,0.0,1
Wayanad,Chooralmala,UEI-IMD-FL-2021-0079,2021-07-12T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.0,3.8,8.2,34.9,34.9,7.8435,1.0,0.84,289.53,0.0,1
Wayanad,Chooralmala,UEI-IMD-FL-2021-0079,2021-07-13T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,2.1,7.2,13.2,31.6,66.5,12.1411,2.1,0.85,289.51,0.0,2
Wayanad,Chooralmala,UEI-IMD-FL-2021-0079,2021-07-13T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.7,5.9,21.3,52.6,101.6,16.4251,0.7,0.85,289.5,0.0,2
Wayanad,Chooralmala,UEI-IMD-FL-2021-0079,2021-07-13T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.3,0.6,2.5,50.8,104.1,7.9345,0.3,0.85,289.49,0.0,3
Wayanad,Chooralmala,UEI-IMD-FL-2021-0079,2021-07-14T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.2,4.1,7.2,44.8,111.3,7.9041,1.2,0.85,289.48,0.0,3
Wayanad,Chooralmala,UEI-IMD-FL-2021-0080,2021-07-14T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,1.0,,0.85,289.48,0.0,1
Wayanad,Chooralmala,UEI-IMD-FL-2021-0080,2021-07-15T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.5,1.2,2.9,28.4,28.4,4.0725,0.5,0.87,289.93,0.02,1
Wayanad,Chooralmala,UEI-IMD-FL-2021-0080,2021-07-16T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,2.1,9.9,14.2,29.3,57.7,13.7961,2.1,0.87,289.76,0.0,2
Wayanad,Chooralmala,UEI-IMD-FL-2021-0080,2021-07-16T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.6,2.8,8.7,51.0,88.4,11.666,0.6,0.88,289.71,-0.01,2
Wayanad,Chooralmala,UEI-IMD-FL-2021-0080,2021-07-16T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.2,2.4,3.2,48.1,91.6,7.2288,1.2,0.88,289.63,0.0,3
Wayanad,Chooralmala,UEI-IMD-FL-2021-0080,2021-07-17T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.6,3.6,7.2,41.1,98.8,6.8059,0.6,0.88,289.59,-0.02,3
Wayanad,Chooralmala,UEI-IMD-FL-2021-0081,2021-07-18T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,3.3,,0.89,289.65,0.0,1
Wayanad,Chooralmala,UEI-IMD-FL-2021-0081,2021-07-19T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,2.4,4.8,7.5,30.1,30.1,8.6787,2.4,0.89,289.63,0.0,1
Wayanad,Chooralmala,UEI-IMD-FL-2021-0081,2021-07-20T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.3,0.7,1.6,23.4,53.5,3.8392,0.3,0.89,289.6,0.0,2
Wayanad,Chooralmala,UEI-IMD-FL-2021-0081,2021-07-20T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.9,2.6,5.0,13.4,61.3,4.5085,0.9,0.89,289.64,0.02,2
Wayanad,Chooralmala,UEI-IMD-FL-2021-0081,2021-07-20T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.5,1.2,3.1,12.5,64.4,3.6776,0.5,0.89,289.67,0.0,3
Wayanad,Chooralmala,UEI-IMD-FL-2021-0081,2021-07-21T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.8,2.5,4.5,15.4,68.9,4.3968,0.8,0.89,289.65,0.0,3
Wayanad,Chooralmala,UEI-IMD-FL-2022-0544,2022-06-13T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.0,,0.73,289.29,0.01,1
Wayanad,Chooralmala,UEI-IMD-FL-2022-0544,2022-06-14T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.6,4.0,4.0,0.5298,0.0,0.74,289.34,-0.01,1
Wayanad,Chooralmala,UEI-IMD-FL-2022-0544,2022-06-15T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.0,5.4,9.4,0.3451,0.0,0.75,289.31,0.02,2
Wayanad,Chooralmala,UEI-IMD-FL-2022-0544,2022-06-15T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,2.3,12.3,17.4,23.6,32.7,12.4395,2.3,0.75,289.37,0.0,2
Wayanad,Chooralmala,UEI-IMD-FL-2022-0544,2022-06-15T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.3,23.6,33.0,4.6915,0.0,0.74,289.37,0.0,3
Wayanad,Chooralmala,UEI-IMD-FL-2022-0544,2022-06-16T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.3,23.9,33.3,1.9025,0.0,0.75,289.35,-0.02,3
Wayanad,Chooralmala,UEI-IMD-FL-2022-0552,2022-07-13T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.8,,0.89,289.93,0.0,1
Wayanad,Chooralmala,UEI-IMD-FL-2022-0552,2022-07-14T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,7.9,12.1,17.2,56.2,56.2,21.6921,7.9,0.9,290.48,-0.05,1
Wayanad,Chooralmala,UEI-IMD-FL-2022-0552,2022-07-15T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.6,5.5,8.5,62.0,118.2,13.8288,1.6,0.9,290.75,-0.05,2
Wayanad,Chooralmala,UEI-IMD-FL-2022-0552,2022-07-15T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,2.0,6.3,17.5,49.0,151.4,15.5324,2.0,0.91,291.2,-0.09,2
Wayanad,Chooralmala,UEI-IMD-FL-2022-0552,2022-07-15T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.9,3.0,4.7,46.4,156.1,9.0817,0.9,0.91,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2022-0552,2022-07-16T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.4,0.9,3.1,41.0,159.2,5.2069,0.4,0.91,291.03,-0.09,3
Wayanad,Chooralmala,UEI-IMD-FL-2022-0575,2022-07-30T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,2.3,,0.94,289.62,0.0,1
Wayanad,Chooralmala,UEI-IMD-FL-2022-0575,2022-07-31T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.5,30.2,30.2,2.9848,0.0,0.95,289.79,0.04,1
Wayanad,Chooralmala,UEI-IMD-FL-2022-0575,2022-08-01T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,2.1,6.7,14.2,38.2,68.4,14.6878,2.1,0.95,289.65,0.0,2
Wayanad,Chooralmala,UEI-IMD-FL-2022-0575,2022-08-01T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.6,7.1,23.2,56.6,102.4,17.4301,1.6,0.95,289.6,0.0,2
Wayanad,Chooralmala,UEI-IMD-FL-2022-0575,2022-08-01T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.5,3.4,9.4,57.6,111.8,11.9598,0.5,0.96,289.59,0.0,3
Wayanad,Chooralmala,UEI-IMD-FL-2022-0575,2022-08-02T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.8,8.3,18.2,61.6,130.0,17.3588,0.8,0.97,289.6,0.0,3
Wayanad,Chooralmala,UEI-IMD-FL-2023-0356,2023-07-20T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.2,,0.76,289.44,0.01,1
Wayanad,Chooralmala,UEI-IMD-FL-2023-0356,2023-07-21T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.3,0.8,2.4,15.2,15.2,2.7877,0.3,0.76,289.75,0.01,1
Wayanad,Chooralmala,UEI-IMD-FL-2023-0356,2023-07-22T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.3,2.5,3.8,25.3,40.5,5.082,1.3,0.76,289.48,0.0,2
Wayanad,Chooralmala,UEI-IMD-FL-2023-0356,2023-07-22T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,4.5,10.3,18.5,35.1,68.6,15.7713,4.5,0.77,289.51,-0.01,2
Wayanad,Chooralmala,UEI-IMD-FL-2023-0356,2023-07-22T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.9,3.4,8.4,40.3,77.0,11.5505,1.9,0.77,289.75,0.07,3
Wayanad,Chooralmala,UEI-IMD-FL-2023-0356,2023-07-23T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.1,1.8,4.3,40.8,81.3,6.7731,0.1,0.78,289.92,-0.02,3
